CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
707842,41.72296,-72.761366,2020-07-28,O,O,3,State,71-S,,
708505,41.730526,-72.718776,2020-07-31,O,O,3,State,529-E,New Britain Ave,New Britain Ave
707519,41.730997,-72.71672,2020-08-03,O,O,3,State,529-E,New Britain Ave,New Britain Ave
708506,41.731522,-72.74441,2020-08-04,A,C,3,State,71-N,New Britain Ave,New Britain Ave
708892,41.80104,-72.73481,2020-08-04,A,B,3,State,185-E,Simsbury Rd,Simsbury Rd
708743,41.72698,-72.75793,2020-08-05,O,O,3,State,71-S,New Britain Ave,New Britain Ave
712781,41.729277,-72.753687,2020-08-07,A,B,3,State,71-S,New Britain Ave,New Britain Ave
708587,41.732074,-72.730455,2020-08-08,A,B,3,State,529-E,New Britain Ave,New Britain Ave
707708,41.732846,-72.7325,2020-08-09,O,O,3,State,173-N,New Britain Ave,New Britain Ave
708748,41.73084,-72.71753,2020-08-12,A,B,3,State,529-E,New Britain Ave,New Britain Ave
708749,41.731618,-72.743824,2020-08-12,A,B,3,State,71-N,New Britain Ave,New Britain Ave
709016,41.731526,-72.743314,2020-08-12,O,O,3,State,173-N,New Britain Ave,New Britain Ave
712211,41.731713,-72.743101,2020-08-14,A,B,3,State,173-N,New Britain Ave,New Britain Ave
712229,41.7325,-72.73578,2020-08-14,A,B,3,State,173-N,New Britain Ave,New Britain Ave
714614,41.730709,-72.71816,2020-08-14,O,O,3,State,529-E,New Britain Ave,New Britain Ave
714737,41.732631,-72.734493,2020-08-14,O,O,3,State,173-N,New Britain Ave,New Britain Ave
717533,41.73047,-72.719319,2020-08-16,A,B,3,State,529-E,New Britain Ave,New Britain Ave
714616,41.72718,-72.75734,2020-08-18,A,C,3,State,71-S,New Britain Ave,New Britain Ave
713001,41.728276,-72.75558,2020-08-22,O,O,3,State,71-S,New Britain Ave,New Britain Ave
718627,41.726377,-72.759044,2020-08-22,O,O,3,State,71-N,New Britain Ave,New Britain Ave
718629,41.73066,-72.74844,2020-08-26,A,C,3,State,71-N,New Britain Ave,New Britain Ave
719433,41.730095,-72.725196,2020-08-29,A,C,3,State,529-E,New Britain Ave,New Britain Ave
719788,41.72718,-72.75734,2020-09-04,O,O,3,State,535-S,New Britain Ave,New Britain Ave
719434,41.790528,-72.746925,2020-09-09,A,C,3,State,218-E,Main St,North Main 2
723675,41.730898,-72.717495,2020-09-11,O,O,3,State,529-E,New Britain Ave,New Britain Ave
722038,41.726283,-72.759215,2020-09-13,O,O,3,State,71-N,New Britain Ave,New Britain Ave
723677,41.731695,-72.743405,2020-09-16,O,O,3,State,173-N,New Britain Ave,New Britain Ave
723678,41.735763,-72.743032,2020-09-16,O,O,3,State,173-S,Main St,South Main 1
723874,41.730007,-72.723617,2020-09-16,O,O,3,State,529-E,New Britain Ave,New Britain Ave
723833,41.73138369,-72.71498066,2020-09-18,O,O,3,State,529-E,New Britain Ave,New Britain Ave
724031,41.732327,-72.730733,2020-09-22,A,B,3,State,173-N,New Britain Ave,New Britain Ave
725365,41.731279,-72.728305,2020-09-22,O,O,3,State,529-E,New Britain Ave,New Britain Ave
724429,41.727372,-72.757565,2020-09-23,O,O,3,State,71-S,New Britain Ave,New Britain Ave
727280,41.730887,-72.727412,2020-09-23,A,C,3,State,529-E,New Britain Ave,New Britain Ave
724964,41.730811,-72.726911,2020-09-26,O,O,3,State,529-E,New Britain Ave,New Britain Ave
727314,41.787778,-72.747924,2020-09-28,O,O,3,State,218-E,Main St,North Main 2
729718,41.732806,-72.732318,2020-10-02,O,O,3,State,173-N,New Britain Ave,New Britain Ave
768772,41.73188383,-72.73061025,2020-10-03,O,O,3,State,173-N,Newington Rd,Newington Rd
729102,41.798849,-72.723005,2020-10-06,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
729181,41.74701882,-72.77968969,2020-10-06,A,C,3,State,4-E,Farmington Ave,Farmington Ave
731075,41.73167,-72.74337,2020-10-08,A,B,3,State,173-N,New Britain Ave,New Britain Ave
730157,41.732738,-72.731411,2020-10-09,O,O,3,State,173-N,New Britain Ave,New Britain Ave
734001,41.732288,-72.743333,2020-10-10,O,O,3,State,173-N,Main St,South Main 1
734888,41.73167,-72.74337,2020-10-12,O,O,3,State,173-N,New Britain Ave,New Britain Ave
730828,41.790672,-72.746864,2020-10-13,A,B,3,State,218-E,Main St,North Main 2
731520,41.798776,-72.74856,2020-10-13,A,C,3,State,218-E,Main St,North Main 2
768992,41.793657,-72.716471,2020-10-15,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
734944,41.80071,-72.74975,2020-10-17,O,O,3,State,218-E,Main St,North Main 2
737791,41.73646,-72.74309,2020-10-19,O,O,3,State,173-N,Main St,South Main 1
737907,41.732912,-72.743268,2020-10-19,O,O,3,State,173-N,Main St,South Main 1
738068,41.73116,-72.716363,2020-10-23,O,O,3,State,529-E,New Britain Ave,New Britain Ave
738084,41.726084,-72.759737,2020-10-23,O,O,3,State,71-S,New Britain Ave,New Britain Ave
758141,41.725987,-72.75918,2020-10-23,O,O,3,State,71-N,New Britain Ave,New Britain Ave
758424,41.734699,-72.743195,2020-10-26,A,B,3,State,173-N,Main St,South Main 1
758427,41.805682,-72.750923,2020-10-28,O,O,3,State,218-W,Main St,North Main 2
759428,41.805705,-72.750925,2020-10-28,A,C,3,State,218-W,Main St,North Main 2
758560,41.73116,-72.716,2020-10-30,O,O,3,State,529-E,New Britain Ave,New Britain Ave
737886,41.729898,-72.724235,2020-10-31,A,C,3,State,529-E,New Britain Ave,New Britain Ave
758431,41.72522,-72.75981,2020-10-31,A,C,3,State,71-N,New Britain Ave,New Britain Ave
762116,41.732571,-72.735317,2020-11-02,O,O,3,State,173-N,New Britain Ave,New Britain Ave
758913,41.71888513,-72.76218648,2020-11-05,O,O,3,State,71-S,New Britain Ave,New Britain Ave
775728,41.75341,-72.736516,2020-11-05,A,B,3,State,501-N,,
759753,41.787582,-72.747927,2020-11-06,O,O,3,State,218-E,Main St,North Main 2
753264,41.727278,-72.757477,2020-11-07,O,O,3,State,71-S,New Britain Ave,New Britain Ave
757681,41.730792,-72.717514,2020-11-08,O,O,3,State,529-E,New Britain Ave,New Britain Ave
762120,41.729652,-72.731846,2020-11-08,A,C,3,State,173-N,Newington Rd,Newington Rd
758465,41.720993,-72.761306,2020-11-09,O,O,3,State,71-S,New Britain Ave,New Britain Ave
758482,41.729332,-72.753411,2020-11-10,A,B,3,State,71-S,New Britain Ave,New Britain Ave
761786,41.732732,-72.733891,2020-11-11,O,O,3,State,173-N,New Britain Ave,New Britain Ave
762122,41.731379,-72.73093,2020-11-12,O,O,3,State,173-N,Newington Rd,Newington Rd
762131,41.79066,-72.74689,2020-11-13,A,B,3,State,218-E,Main St,North Main 2
761991,41.731765,-72.743383,2020-11-17,O,O,3,State,173-N,New Britain Ave,New Britain Ave
762146,41.800509,-72.749611,2020-11-17,O,O,3,State,218-E,Main St,North Main 2
770440,41.732833,-72.732121,2020-11-18,O,O,3,State,173-N,New Britain Ave,New Britain Ave
763062,41.754039,-72.736811,2020-11-20,A,B,3,State,501-S,,
