CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
625193,41.773542,-72.765121,West Hartford,12/9/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,TREEBOROUGH DR,,
625192,41.733518,-72.73116,West Hartford,12/9/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,New Britain Avenue,Quaker Lane South
625191,41.740844,-72.74449,West Hartford,12/9/19,A,C,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Ledgewood Road,South Main to NB
625190,41.757152,-72.736489,West Hartford,12/9/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Boulevard,Trout Brook south
655426,41.762475,-72.715725,West Hartford,12/10/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,WARRENTON AV,,Prospect Ave
625939,41.768357,-72.747813,West Hartford,12/10/19,O,O,4,Local,177,FERN ST,FERN ST,,Clifton Avenue,
625203,41.737106,-72.729907,West Hartford,12/10/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,806 Quaker Lane S,,Quaker Lane South
625202,41.73083974,-72.72571401,West Hartford,12/10/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,529-E,,
625200,41.78852,-72.76633,West Hartford,12/10/19,O,O,4,Local,303,LOVELACE DR,LOVELACE DR,,Lovelace Drive,
625198,41.732227,-72.758317,West Hartford,12/10/19,O,O,4,Local,411,RIDGEWOOD RD,RIDGEWOOD RD,,Wood Pond Rd.,
625195,41.75645,-72.71481,West Hartford,12/10/19,A,B,4,Local,394,PROSPECT AV,PROSPECT AV,,306 Prospect Ave,Prospect Ave
622480,41.783065,-72.737145,West Hartford,12/10/19,O,O,4,Local,616,LAWLER RD NO 2,LAWLER RD NO 2,,52 Lawler Road,
625206,41.770032,-72.725043,West Hartford,12/11/19,O,O,4,Local,469,STEELE RD,STEELE RD,,Fern Street,
625205,41.75307,-72.74354,West Hartford,12/11/19,A,C,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,PARK RD,,South Main to NB
625204,41.75695,-72.73628,West Hartford,12/11/19,A,B,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,BOULEVARD,The Boulevard,Trout Brook south
627088,41.764778,-72.72845,West Hartford,12/12/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,South Quaker Lane,Farmington Ave
626641,41.75667,-72.73854,West Hartford,12/12/19,O,O,4,Local,42,BOULEVARD,BOULEVARD,RAYMOND RD,,Boulevard midwest
626363,41.76444,-72.73045,West Hartford,12/12/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,AUBURN RD,,Farmington Ave
626388,41.736478,-72.74282,West Hartford,12/13/19,O,O,4,Local,251,HOOKER DR,HOOKER DR,,South Main St.,South Main to NB
626358,41.784304,-72.746785,West Hartford,12/13/19,A,B,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Albany Avenue,North Main from Center
626295,41.77925,-72.74615,West Hartford,12/13/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,ASYLUM AV,,North Main from Center
626021,41.755374,-72.740929,West Hartford,12/13/19,O,O,4,Local,316,MEADOWBROOK RD,MEADOWBROOK RD,,Raymond Road,
625590,41.78450396,-72.74674119,West Hartford,12/13/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Albany Avenue,North Main from Center
625580,41.79276,-72.76663,West Hartford,12/13/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,LOSTBROOK RD,,
625564,41.750959,-72.719647,West Hartford,12/13/19,O,O,4,Local,269,KANE ST,KANE ST,,Oakwood Avenue,
625208,41.74368,-72.72617,West Hartford,12/13/19,A,B,4,Local,583,PRICE BLVD NO 2,PRICE BLVD NO 2,HAMPTON AV,,
626333,41.784962,-72.740555,West Hartford,12/14/19,A,B,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Pinecrest rd,
625212,41.76204,-72.74179,West Hartford,12/14/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FARMINGTON AV,,Farmington Ave
625211,41.765764,-72.76478,West Hartford,12/14/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,FERN ST,,
625210,41.765231,-72.72148,West Hartford,12/14/19,A,B,4,Local,169,FARMINGTON AV,FARMINGTON AV,BEVERLY RD,,Farmington Ave
625209,41.750869,-72.754937,West Hartford,12/14/19,O,O,4,Local,433,SEDGWICK RD,SEDGWICK RD,TUNXIS RD,,Sedgwick Rd
626049,41.77925,-72.74615,West Hartford,12/15/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,ASYLUM AV,,North Main from Center
633889,41.73633,-72.73038,West Hartford,12/16/19,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,TROUT BROOK DR,,Quaker Lane South
