CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description
517769,41.755874,-72.728741,West Hartford,2/7/19,O,O,4,Local,371,PARK RD,PARK RD,,South Quaker Lane
519204,41.762106,-72.74162,West Hartford,2/8/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FARMINGTON AV,
518711,41.742312,-72.716908,West Hartford,2/8/19,A,C,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,
518710,41.785396,-72.746828,West Hartford,2/8/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,Albany Ave.
519208,41.751592,-72.715126,West Hartford,2/9/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,,Kane St
519207,41.756719,-72.722353,West Hartford,2/9/19,O,O,4,Local,617,OAKWOOD AV NO 2,OAKWOOD AV NO 2,,Park Rd.
519206,41.742158,-72.716486,West Hartford,2/9/19,O,O,4,Local,185,FLATBUSH AV,FLATBUSH AV,,New Park Ave.
519205,41.739136,-72.744192,West Hartford,2/9/19,A,B,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Bentwood Road
518409,41.76578,-72.764715,West Hartford,2/9/19,A,C,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,FERN ST,
519210,41.773754,-72.765166,West Hartford,2/11/19,A,C,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,WESTMONT,
518297,41.751968,-72.744064,West Hartford,2/11/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,WEBSTER HILL BLVD
528975,41.777238,-72.714019,West Hartford,2/12/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,ASYLUM AV,
522832,41.742081,-72.740582,West Hartford,2/12/19,O,O,4,Local,531,WEBSTER HILL BLVD,WEBSTER HILL BLVD,LEDGEWOOD RD,
519214,41.74812499,-72.71926255,West Hartford,2/12/19,O,O,4,Local,547,WESTPHAL ST,WESTPHAL ST,,Oakwood Avenue
519211,41.76123,-72.740785,West Hartford,2/12/19,O,O,4,Local,261,ISHAM RD,ISHAM RD,,New Street
518866,41.77252,-72.74147,West Hartford,2/12/19,O,O,4,Local,295,LINNARD RD,LINNARD RD,MONTCLAIR DR,
519218,41.752479,-72.715048,West Hartford,2/13/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,,KANE ST
519217,41.734068,-72.730811,West Hartford,2/13/19,O,O,4,Local,69,BURGOYNE ST,BURGOYNE ST,,South Quaker Ln.
519220,41.765673,-72.748445,West Hartford,2/14/19,O,O,4,Local,518,WALDEN ST,156 WALDEN ST,,Keeney Ave.
518410,41.778952,-72.73709,West Hartford,2/14/19,A,C,4,Local,14,ASYLUM AV,ASYLUM AV,TROUT BROOK DR,
519224,41.765487,-72.71907,West Hartford,2/15/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,HIGHLAND ST
519223,41.786634,-72.735361,West Hartford,2/15/19,O,O,4,Local,331,MOHEGAN DR,MOHEGAN DR,,44-E
528995,41.758377,-72.715117,West Hartford,2/16/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,WEST BEACON ST,
521032,41.75724,-72.734797,West Hartford,2/16/19,O,O,4,Local,42,BOULEVARD,BOULEVARD,,Trout Brook Dr
521031,41.726296,-72.761669,West Hartford,2/16/19,O,O,4,Local,361,SOUTH RD,SOUTH RD,,New Britain Ave
521030,41.763491,-72.732249,West Hartford,2/16/19,O,O,4,Local,538,WESTFIELD RD,WESTFIELD RD,,Farmington Ave.
